
#################################################################
------------------
Query Setting:
source: 0	target: 4	startTime: 0	TDSP: 21300	budget: 10082000% SP	SPValue: 2
Iter: 141	G size: 0	TotalProcessTimeSofar: 4544	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 142	G size: 0	TotalProcessTimeSofar: 4576	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 143	G size: 0	TotalProcessTimeSofar: 4608	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 144	G size: 0	TotalProcessTimeSofar: 4640	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 145	G size: 0	TotalProcessTimeSofar: 4672	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 146	G size: 0	TotalProcessTimeSofar: 4704	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 147	G size: 0	TotalProcessTimeSofar: 4736	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 148	G size: 0	TotalProcessTimeSofar: 4768	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 149	G size: 0	TotalProcessTimeSofar: 4800	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 150	G size: 0	TotalProcessTimeSofar: 4832	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 151	G size: 0	TotalProcessTimeSofar: 4864	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 152	G size: 0	TotalProcessTimeSofar: 4896	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 153	G size: 0	TotalProcessTimeSofar: 4928	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 154	G size: 0	TotalProcessTimeSofar: 4960	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 155	G size: 0	TotalProcessTimeSofar: 4992	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 156	G size: 0	TotalProcessTimeSofar: 5024	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
Iter: 157	G size: 0	TotalProcessTimeSofar: 5056	calculateCandArcTime: 0	arcSelectionTime: 0	solution: total value: 0%	total cost: 0
